DATE,LMUNRRTTRUM156S
1991-07-01,0.0645803042537972
1991-08-01,0.0856502456018229
1991-09-01,0.151737084341724
1991-10-01,0.14498545889572
1991-11-01,0.128541554182772
1991-12-01,0.0982341302424979
1992-01-01,0.0762516874592263
1992-02-01,0.0626760666900914
1992-03-01,0.0460663653509175
1992-04-01,0.106077600104518
1992-05-01,0.196949360047755
1992-06-01,0.283313561346999
1992-07-01,0.374997415522159
1992-08-01,0.446177436069665
1992-09-01,0.584092454878145
1992-10-01,0.67671364583888
1992-11-01,0.739275948044339
1992-12-01,0.817408458647306
1993-01-01,0.783650046036672
1993-02-01,0.828844743215991
1993-03-01,0.880891967422137
1993-04-01,0.891671752844407
1993-05-01,0.95436634891875
1993-06-01,1.01238443508904
1993-07-01,1.04570168600235
1993-08-01,1.05741462338821
1993-09-01,1.09955817897066
1993-10-01,1.08205082196943
1993-11-01,1.14340493635809
1993-12-01,1.12006045978426
1994-01-01,1.18180888732986
1994-02-01,1.22537586883029
1994-03-01,1.37627889379823
1994-04-01,1.48701837841696
1994-05-01,1.55203999056433
1994-06-01,1.71245950700325
1994-07-01,1.84755261323419
1994-08-01,1.95909594777411
1994-09-01,2.00554891135059
1994-10-01,2.08620423700246
1994-11-01,2.14669362797206
1994-12-01,2.21992313672367
1995-01-01,2.37750348402102
1995-02-01,2.41857661800654
1995-03-01,2.57052758960298
1995-04-01,2.58170360715362
1995-05-01,2.7492278263795
1995-06-01,2.81404594435992
1995-07-01,2.85155332249951
1995-08-01,2.96348057376068
1995-09-01,3.01304109646456
1995-10-01,3.09145965156051
1995-11-01,3.15016240004615
1995-12-01,3.21871788614501
1996-01-01,3.27345652762997
1996-02-01,3.41092782429774
1996-03-01,3.56697477131511
1996-04-01,3.67697215962401
1996-05-01,3.64843338552741
1996-06-01,3.61675640991539
1996-07-01,3.55533256750673
1996-08-01,3.56844930264183
1996-09-01,3.51965573360436
1996-10-01,3.49556159961632
1996-11-01,3.45171303188648
1996-12-01,3.41576668643466
1997-01-01,3.46828583460027
1997-02-01,3.4035895772975
1997-03-01,3.36594118723357
1997-04-01,3.3761534945884
1997-05-01,3.25019169389042
1997-06-01,3.22117648154903
1997-07-01,3.15883416135633
1997-08-01,3.07323051928464
1997-09-01,2.92419491496254
1997-10-01,2.89757081971028
1997-11-01,2.85084532800999
1997-12-01,2.80998598751702
1998-01-01,2.66170683902001
1998-02-01,2.59457605691988
1998-03-01,2.56459207420032
1998-04-01,2.57764715942106
1998-05-01,2.55231207156347
1998-06-01,2.52644254339904
1998-07-01,2.56290764418881
1998-08-01,2.47806558460195
1998-09-01,2.52710300521159
1998-10-01,2.59951546212313
1998-11-01,2.65024062618223
1998-12-01,2.60489093316849
1999-01-01,2.55414780693641
1999-02-01,2.58463039737976
1999-03-01,2.46202408248238
1999-04-01,2.37896753990528
1999-05-01,2.35405204127571
1999-06-01,2.23088606257016
1999-07-01,2.06712897368627
1999-08-01,1.98099049305974
1999-09-01,1.92941300316548
1999-10-01,1.90301924717437
1999-11-01,1.75251411751027
1999-12-01,1.70222623485418
2000-01-01,1.64785118283813
2000-02-01,1.57737197641126
2000-03-01,1.56042681991938
2000-04-01,1.4806265434854
2000-05-01,1.45692161371074
2000-06-01,1.43526845136326
2000-07-01,1.46987522474903
2000-08-01,1.48200713380631
2000-09-01,1.43011901150816
2000-10-01,1.40671344150305
2000-11-01,1.4538316185288
2000-12-01,1.3989869821765
2001-01-01,1.44124533803204
2001-02-01,1.36936396484446
2001-03-01,1.35851542933778
2001-04-01,1.38104408040932
2001-05-01,1.35925825094982
2001-06-01,1.4392697293998
2001-07-01,1.47306378348317
2001-08-01,1.48408701212607
2001-09-01,1.53146049535744
2001-10-01,1.51075033646141
2001-11-01,1.55642856456206
2001-12-01,1.59551301503662
2002-01-01,1.6358755637981
2002-02-01,1.76121017384195
2002-03-01,1.75610558161182
2002-04-01,1.781027954961
2002-05-01,1.86026292539668
2002-06-01,1.84323724259169
2002-07-01,1.87662475924691
2002-08-01,1.88617942350249
2002-09-01,1.9333198423924
2002-10-01,2.014336612096
2002-11-01,2.05944116406509
2002-12-01,2.09237875649587
2003-01-01,2.13079791209698
2003-02-01,2.15495712668753
2003-03-01,2.15406107717757
2003-04-01,2.18101608269976
2003-05-01,2.16189007660971
2003-06-01,2.14651278329424
2003-07-01,2.17983448485919
2003-08-01,2.18728865027538
2003-09-01,2.23460816613216
2003-10-01,2.21780988149888
2003-11-01,2.16209437505268
2003-12-01,2.18912938361592
2004-01-01,2.22623017815216
2004-02-01,2.1493043678722
2004-03-01,2.15165164821425
2004-04-01,2.08050732313857
2004-05-01,2.16285793146814
2004-06-01,2.14822241853497
2004-07-01,2.18208747085625
2004-08-01,2.28759746168914
2004-09-01,2.33647438501667
2004-10-01,2.42235795748959
2004-11-01,2.56545205735878
2004-12-01,2.58725680020926
2005-01-01,2.62395515130409
2005-02-01,2.64375585453969
2005-03-01,2.5488358848107
2005-04-01,2.57743261988653
2005-05-01,2.56274445909137
2005-06-01,2.54752298251876
2005-07-01,2.48193609088402
2005-08-01,2.48750259791695
2005-09-01,2.43829939228481
2005-10-01,2.42766724131521
2005-11-01,2.37164732861065
2005-12-01,2.48870039683721
2006-01-01,2.42534873299549
2006-02-01,2.44172227066217
2006-03-01,2.446631393486
2006-04-01,2.37465396352164
2006-05-01,2.36228371690873
2006-06-01,2.3459717328135
2006-07-01,2.37970961332653
2006-08-01,2.38628807885364
2006-09-01,2.33794941446919
2006-10-01,2.33162964784903
2006-11-01,2.37628149561468
