Date,GDP
2013-06-30,2271246255961.701
2013-07-01,2270583131099.8066
2013-07-02,2269914399555.277
2013-07-03,2269240065715.773
2013-07-04,2268560134017.3564
2013-07-05,2267874608944.489
2013-07-06,2267183495030.0327
2013-07-07,2266486796855.2505
2013-07-08,2265784519049.8047
2013-07-09,2265076666291.7583
2013-07-10,2264363243307.575
2013-07-11,2263644254872.118
2013-07-12,2262919705808.652
2013-07-13,2262189600988.8403
2013-07-14,2261453945332.7485
2013-07-15,2260712743808.841
2013-07-16,2259966001433.9824
2013-07-17,2259213723273.4395
2013-07-18,2258455914440.8774
2013-07-19,2257692580098.3623
2013-07-20,2256923725456.361
2013-07-21,2256149355773.7397
2013-07-22,2255369476357.7656
2013-07-23,2254584092564.1064
2013-07-24,2253793209796.83
2013-07-25,2252996833508.404
2013-07-26,2252194969199.6963
2013-07-27,2251387622419.9766
2013-07-28,2250574798766.913
2013-07-29,2249756503886.575
2013-07-30,2248932743473.432
2013-07-31,2248103523270.3545
2013-08-01,2247268849068.612
2013-08-02,2246428726707.875
2013-08-03,2245583162076.215
2013-08-04,2244732161110.102
2013-08-05,2243875729794.408
2013-08-06,2243013874162.4053
2013-08-07,2242146600295.765
2013-08-08,2241273914324.56
2013-08-09,2240395822427.263
2013-08-10,2239512330830.7466
2013-08-11,2238623445810.284
2013-08-12,2237729173689.5493
2013-08-13,2236829520840.616
2013-08-14,2235924493683.9585
2013-08-15,2235014098688.4517
2013-08-16,2234098342371.369
2013-08-17,2233177231298.387
2013-08-18,2232250772083.581
2013-08-19,2231318971389.4263
2013-08-20,2230381835926.799
2013-08-21,2229439372454.9756
2013-08-22,2228491587781.633
2013-08-23,2227538488762.847
2013-08-24,2226580082303.0967
2013-08-25,2225616375355.259
2013-08-26,2224647374920.6113
2013-08-27,2223673088048.8325
2013-08-28,2222693521838.0005
2013-08-29,2221708683434.5947
2013-08-30,2220718580033.494
2013-08-31,2219723218877.9785
2013-09-01,2218722607259.7275
2013-09-02,2217716752518.821
2013-09-03,2216705662043.739
2013-09-04,2215689343271.363
2013-09-05,2214667803686.9736
2013-09-06,2213641050824.2524
2013-09-07,2212609092265.281
2013-09-08,2211571935640.541
2013-09-09,2210529588628.915
2013-09-10,2209482058957.6855
2013-09-11,2208429354402.5356
2013-09-12,2207371482787.548
2013-09-13,2206308451985.2065
2013-09-14,2205240269916.3955
2013-09-15,2204166944550.398
2013-09-16,2203088483904.899
2013-09-17,2202004896045.9834
2013-09-18,2200916189088.136
2013-09-19,2199822371194.242
2013-09-20,2198723450575.5881
2013-09-21,2197619435491.859
2013-09-22,2196510334251.1414
2013-09-23,2195396155209.922
2013-09-24,2194276906773.0881
2013-09-25,2193152597393.9263
2013-09-26,2192023235574.1245
2013-09-27,2190888829863.7703
2013-09-28,2189749388861.352
2013-09-29,2188604921213.758
2013-09-30,2187455435616.2773
2013-10-01,2186300940812.5986
2013-10-02,2185141445594.8118
2013-10-03,2183976958803.4062
2013-10-04,2182807489327.272
2013-10-05,2181633046103.6992
2013-10-06,2180453638118.379
2013-10-07,2179269274405.4019
2013-10-08,2178079964047.2593
2013-10-09,2176885716174.8428
2013-10-10,2175686539967.444
2013-10-11,2174482444652.7556
2013-10-12,2173273439506.8696
