Date,UnempRate
2013-01-01,1.3491742381277836
2013-01-02,1.338909769950061
2013-01-03,1.3303543189192002
2013-01-04,1.3233065577386707
2013-01-05,1.3175826714017151
2013-01-06,1.3130151625056274
2013-01-07,1.3094517228836147
2013-01-08,1.306754168498575
2013-01-09,1.304797434660974
2013-01-10,1.3034686287470578
2013-01-11,1.302666137704001
2013-01-12,1.302298787735337
2013-01-13,1.3022850536632613
2013-01-14,1.302552315564246
2013-01-15,1.3030361603709149
2013-01-16,1.303679726226428
2013-01-17,1.3044330874677879
2013-01-18,1.3052526782015805
2013-01-19,1.3061007525198158
2013-01-20,1.3069448794847958
2013-01-21,1.3077574710903972
2013-01-22,1.308515341482908
2013-01-23,1.309199295797647
2013-01-24,1.3097937470381371
2013-01-25,1.3102863594926422
2013-01-26,1.3106677172484917
2013-01-27,1.3109310164278927
2013-01-28,1.3110717798299152
2013-01-29,1.3110875927221113
2013-01-30,1.310977858581855
2013-01-31,1.3107435736420359
2013-02-01,1.3103871191482535
2013-02-02,1.309912070285234
2013-02-03,1.3093230207788396
2013-02-04,1.3086254222268663
2013-02-05,1.3078254372568614
2013-02-06,1.30692980565249
2013-02-07,1.3059457226316076
2013-02-08,1.304880728499212
2013-02-09,1.3037426089368545
2013-02-10,1.3025393052270242
2013-02-11,1.3012788337464447
2013-02-12,1.299969214096224
2013-02-13,1.2986184052694423
2013-02-14,1.2972342492880486
2013-02-15,1.2958244217709391
2013-02-16,1.2943963889238537
2013-02-17,1.2929573704692654
2013-02-18,1.291514308060831
2013-02-19,1.2900738387522122
2013-02-20,1.2886422731142662
2013-02-21,1.2872255776176895
2013-02-22,1.2858293609203342
2013-02-23,1.2844588637195096
2013-02-24,1.2831189518497763
2013-02-25,1.281814112325996
2013-02-26,1.280548452049782
2013-02-27,1.2793256989150519
2013-02-28,1.2781492050650756
2013-03-01,1.2770219520693642
2013-03-02,1.275946557803922
2013-03-03,1.2749252848328037
2013-03-04,1.2739600501026962
2013-03-05,1.2730524357752537
2013-03-06,1.2722037010344076
2013-03-07,1.2714147947175576
2013-03-08,1.2706863686308352
2013-03-09,1.2700187914191603
2013-03-10,1.2694121628719002
2013-03-11,1.268866328554448
2013-03-12,1.268380894665047
2013-03-13,1.2679552430246708
2013-03-14,1.2675885461158531
2013-03-15,1.26727978209393
2013-03-16,1.267027749701276
2013-03-17,1.2668310830219434
2013-03-18,1.2666882660203471
2013-03-19,1.2665976468136855
2013-03-20,1.2665574516333475
2013-03-21,1.2665657984358163
2013-03-22,1.2666207101284774
2013-03-23,1.2667201273803546
2013-03-24,1.266861920992122
2013-03-25,1.2670439038036616
2013-03-26,1.2672638421213076
2013-03-27,1.2675194666501568
2013-03-28,1.2678084829203762
2013-03-29,1.2681285811990421
2013-03-30,1.2684774458821364
2013-03-31,1.2688527643635399
2013-04-01,1.2692522353805762
2013-04-02,1.2696735768373835
2013-04-03,1.270114533109598
2013-04-04,1.2705728818356872
2013-04-05,1.2710464402016015
2013-04-06,1.2715330707270134
2013-04-07,1.272030686562954
2013-04-08,1.2725372563112423
2013-04-09,1.2730508083779335
2013-04-10,1.273569434873088
